stock_item_name,stock_item_code,check
오스코텍,039200,1
경남스틸,039240,1
인포뱅크,039290,1
세중,039310,1
한국경제TV,039340,1
케이엘넷,039420,1
에스티아이,039440,1
다산네트웍스,039560,1
화성밸브,039610,1
스포츠서울,039670,1
한국정보공학,039740,1
오로라,039830,1
디오,039840,1
나노엔텍,039860,1
리노스,039980,1
누리플렉스,040160,1
YTN,040300,1
큐로컴,040350,1
정상제이엘에스,040420,1
SG&G,040610,1
아이씨디,040910,1
폴라리스오피스,041020,1
넥슨지티,041140,1
우리기술투자,041190,1
현대에버다임,041440,1
한국전자인증,041460,1
에스엠,041510,1
이라이콤,041520,1
젬백스지오,041590,1
인바디,041830,1
에스텍파마,041910,1
메디아나,041920,1
동아화성,041930,1
코미팜,041960,1
카페24,042000,1
케이피엠테크,042040,1
에스씨디,042110,1
비츠로테크,042370,1
네오위즈홀딩스,042420,1
링네트,042500,1
라온시큐어,042510,1
한스바이오메드,042520,1
새로닉스,042600,1
상지카일룸,042940,1
한주케미칼앤홀딩스,043090,1
솔고바이오,043100,1
바텍,043150,1
파루,043200,1
에이치엘비파워,043220,1
성호전자,043260,1
에쎈테크,043340,1
디지아이,043360,1
피에이치에이,043370,1
크로바하이텍,043590,1
지니뮤직,043610,1
국순당,043650,1
서울리거,043710,1
자연과환경,043910,1
조광ILI,044060,1
KD,044180,1
위닉스,044340,1
블루베리 NFT,044480,1
태웅,044490,1
에이치케이,044780,1
이글벳,044960,1
오공,045060,1
한양이엔지,045100,1
성우테크론,045300,1
토탈소프트,045340,1
대아티아이,045390,1
정원엔시스,045510,1
크린앤사이언스,045520,1
에이텍,045660,1
GV,045890,1
코아시아,045970,1
코다코,046070,1
한일네트웍스,046110,1
오르비텍,046120,1
SBS콘텐츠허브,046140,1
파나진,046210,1
백금T&A,046310,1
삼화네트웍스,046390,1
KG모빌리언스,046440,1
서울반도체,046890,1
우원개발,046940,1
우리로,046970,1
한빛소프트,047080,1
파워로직스,047310,1
이스트소프트,047560,1
코데즈컴바인,047770,1
초록뱀미디어,047820,1
에이치엘비제약,047920,1
오스템임플란트,048260,1
현대바이오,048410,1
유라테크,048430,1
대동스틸,048470,1
인트론바이오,048530,1
SM C&C,048550,1
TPC,048770,1
엔피케이,048830,1
시너지이노베이션,048870,1
대원미디어,048910,1
인탑스,049070,1
기가레인,049080,1
파인디앤씨,049120,1
셀루메드,049180,1
코메론,049430,1
SGA,049470,1
오픈베이스,049480,1
유아이엘,049520,1
잉크테크,049550,1
재영솔루텍,049630,1
고려신용정보,049720,1
승일,049830,1
미래컴퍼니,049950,1
쎌바이오텍,049960,1
휘닉스소재,050090,1
캠시스,050110,1
ES큐브,050120,1
아래스,050320,1
한국코퍼레이션,050540,1
에스폴리텍,050760,1
아세아텍,050860,1
쏠리드,050890,1
수산아이앤티,050960,1
지어소프트,051160,1
토비스,051360,1
인터플렉스,051370,1
피씨디렉트,051380,1
YW,051390,1
나라엠앤디,051490,1
CJ프레시웨이,051500,1
큐로홀딩스,051780,1
중앙디앤엠,051980,1
에스티큐브,052020,1
세영디앤씨,052190,1
iMBC,052220,1
현대바이오랜드,052260,1
초록뱀컴퍼니,052300,1
코텍,052330,1
코나아이,052400,1
오성첨단소재,052420,1
아이크래프트,052460,1
한네트,052600,1
제일바이오,052670,1
아모텍,052710,1
아이톡시,052770,1
액토즈소프트,052790,1
아이앤씨,052860,1
KMH하이텍,052900,1
바이넥스,053030,1
지에스이,053050,1
세동,053060,1
원방테크,053080,1
소리바다,053110,1
프리엠스,053160,1
금강철강,053260,1
구영테크,053270,1
예스24,053280,1
NE능률,053290,1
한국정보인증,053300,1
이니텍,053350,1
세코닉스,053450,1
웹케시,053580,1
한국테크놀로지,053590,1
프로텍,053610,1
태양,053620,1
현진소재,053660,1
삼보모터스,053700,1
안랩,053800,1
경남제약,053950,1
오상자이엘,053980,1
한국컴퓨터,054040,1
농우바이오,054050,1
삼진엘앤디,054090,1
메디콕스,054180,1
이랜텍,054210,1
비츠로시스,054220,1
팬스타엔터프라이즈,054300,1
케이피티유,054410,1
텔레칩스,054450,1
삼영엠텍,054540,1
APS홀딩스,054620,1
에이디칩스,054630,1
대한뉴팜,054670,1
키이스트,054780,1
아이디스홀딩스,054800,1
한컴위드,054920,1
유신,054930,1
엑사이엔씨,054940,1
제이브이엠,054950,1
COWON,056000,1
유진로봇,056080,1
유앤아이,056090,1
에스에프에이,056190,1
코위버,056360,1
신화인터텍,056700,1
CNT85,056730,1
YBM넷,057030,1
옴니시스템,057540,1
티사이언티픽,057680,1
피에이치씨,057880,1
멕아이씨에스,058110,1
아리온,058220,1
KNN,058400,1
제이웨이,058420,1
일야,058450,1
리노공업,058470,1
슈펙스비앤피,058530,1
에스피지,058610,1
엠게임,058630,1
CMG제약,058820,1
엠로,058970,1
미코,059090,1
아이컴포넌트,059100,1
아진엑스텍,059120,1
메타바이오메드,059210,1
해성티피씨,059270,1
인선이엔티,060150,1
얍엑스,060230,1
룽투코리아,060240,1
NHN한국사이버결제,060250,1
뉴보텍,060260,1
큐렉소,060280,1
레드로버,060300,1
3S,060310,1
KT서브마린,060370,1
동양에스텍,060380,1
국일신동,060480,1
에스에이티,060540,1
홈센타홀딩스,060560,1
드림어스컴퍼니,060570,1
씨티씨바이오,060590,1
KH바텍,060720,1
영림원소프트랩,060850,1
대한그린파워,060900,1
알에프텍,061040,1
화일약품,061250,1
엘비세미콘,061970,1
티엘아이,062860,1
피피아이,062970,1
게임빌,063080,1
서울옥션,063170,1
SM Life Design,063440,1
한국전자금융,063570,1
이엘피,063760,1
에프앤리퍼블릭,064090,1
홈캐스트,064240,1
다날,064260,1
인텍플러스,064290,1
브리지텍,064480,1
에코마이스터,064510,1
바른전자,064520,1
바이오니아,064550,1
티씨케이,064760,1
젬백스링크,064800,1
케이프,064820,1
에프앤가이드,064850,1
지엔코,065060,1
탑엔지니어링,065130,1
엠피대산,065150,1
넥스트BT,065170,1
신성델타테크,065350,1
위세아이텍,065370,1
에스아이리소스,065420,1
이루온,065440,1
빅텍,065450,1
오리엔트정공,065500,1
휴비츠,065510,1
와이어블,065530,1
녹원씨엔아이,065560,1
삼영이엔씨,065570,1
메디프론,065650,1
안트로젠,065660,1
우주일렉트로,065680,1
파커스,065690,1
서호전기,065710,1
CS,065770,1
웰크론,065950,1
한프,066110,1
하츠,066130,1
큐에스아이,066310,1
체리부로,066360,1
버킷스튜디오,066410,1
와이오엠,066430,1
우수AMS,066590,1
국보디자인,066620,1
디스플레이텍,066670,1
테라젠이텍스,066700,1
씨씨에스,066790,1
디에이피,066900,1
손오공,066910,1
엘앤에프,066970,1
이엔코퍼레이션,066980,1
조이시티,067000,1
이씨에스,067010,1
대화제약,067080,1
아프리카TV,067160,1
오텍,067170,1
멀티캠퍼스,067280,1
JW신약,067290,1
하나마이크론,067310,1
아스트,067390,1
엔브이에이치코리아,067570,1
에이치엘비생명과학,067630,1
로지시스,067730,1
세진티에스,067770,1
와이엔텍,067900,1
이글루시큐리티,067920,1
도이치모터스,067990,1
팬엔터테인먼트,068050,1
다원시스,068240,1
일신바이오,068330,1
셀트리온제약,068760,1
DMS,068790,1
디지털대성,068930,1
아이씨케이,068940,1
웹젠,069080,1
코스온,069110,1
누리플랜,069140,1
유아이디,069330,1
엔텔스,069410,1
에스텍,069510,1
라이트론,069540,1
아이에스이커머스,069920,1
엑스큐어,070300,1
한솔인티큐브,070590,1
인피니트헬스케어,071200,1
로체시스템즈,071280,1
위니아딤채,071460,1
에이테크솔루션,071670,1
캐스텍코리아,071850,1
중앙백신,072020,1
우리산업홀딩스,072470,1
제넨바이오,072520,1
율호,072770,1
메가스터디,072870,1
빛샘전자,072950,1
에이치시티,072990,1
케이에스피,073010,1
엘엠에스,073110,1
듀오백,073190,1
이노와이어리스,073490,1
에프알텍,073540,1
우리손에프앤지,073560,1
WI,073570,1
테라사이언스,073640,1
아미노로직스,074430,1
원익QnC,074600,1
플랜티넷,075130,1
동국알앤에스,075970,1
웰크론한텍,076080,1
해성옵틱스,076610,1
덕산하이메탈,077360,1
이베스트투자증권,078020,1
유비쿼스홀딩스,078070,1
국일제지,078130,1
대봉엘에스,078140,1
HB테크놀러지,078150,1
메디포스트,078160,1
컴투스,078340,1
한양디지텍,078350,1
OQP,078590,1
대주전자재료,078600,1
지나인제약,078650,1
아이오케이,078860,1
가온미디어,078890,1
코드네이처,078940,1
와토스코리아,079000,1
한창산업,079170,1
EMW,079190,1
제우스,079370,1
서산,079650,1
디이엔티,079810,1
가비아,079940,1
인베니아,079950,1
동양이엔피,079960,1
투비소프트,079970,1
에스엔유,080000,1
이상네트웍스,080010,1
모두투어,080160,1
제주반도체,080220,1
모다이노칩,080420,1
성창오토텍,080470,1
오디텍,080520,1
코디,080530,1
오킨스전자,080580,1
한국유니온제약,080720,1
티플랙스,081150,1
성우전자,081580,1
옵트론텍,082210,1
젬백스,082270,1
코스나인,082660,1
비보존 헬스케어,082800,1
우리바이오,082850,1
비츠로셀,082920,1
엘오티베큠,083310,1
GST,083450,1
이엠앤아이,083470,1
에프엔에스테크,083500,1
케이엠,083550,1
인콘,083640,1
비에이치아이,083650,1
CSA 코스믹,083660,1
크리스탈지노믹스,083790,1
아바코,083930,1
휴온스글로벌,084110,1
수성이노베이션,084180,1
유진테크,084370,1
랩지노믹스,084650,1
팅크웨어,084730,1
아이티엠반도체,084850,1
헬릭스미스,084990,1
루트로닉,085370,1
루트로닉3우C,08537M,1
차바이오텍,085660,1
뉴프렉스,085670,1
알티캐스트,085810,1
네오티스,085910,1
바이오톡스텍,086040,1
진바이오텍,086060,1
유니테스트,086390,1
동국제약,086450,1
에코프로,086520,1
비엠티,086670,1
선진뷰티사이언스,086710,1
바이오솔루션,086820,1
