stock_item_name,stock_item_code,check
삼진제약,005500,1
SPC삼립,005610,1
삼영전자,005680,1
파미셀,005690,1
넥센,005720,1
넥센우,005725,1
크라운해태홀딩스,005740,1
크라운해태홀딩스우,005745,1
대림B&Co,005750,1
신영와코루,005800,1
풍산홀딩스,005810,1
원림,005820,1
DB손해보험,005830,1
에스엘,005850,1
휴니드,005870,1
대한해운,005880,1
삼성전자,005930,1
삼성전자우,005935,1
NH투자증권,005940,1
NH투자증권우,005945,1
이수화학,005950,1
동부건설,005960,1
동부건설우,005965,1
동원산업,006040,1
화승인더,006060,1
사조오양,006090,1
삼아알미늄,006110,1
SK디스커버리,006120,1
SK디스커버리우,006125,1
한국전자홀딩스,006200,1
제주은행,006220,1
LS,006260,1
녹십자,006280,1
대원전선,006340,1
대원전선우,006345,1
GS건설,006360,1
대구백화점,006370,1
카프로,006380,1
한일현대시멘트,006390,1
삼성SDI,006400,1
삼성SDI우,006405,1
인스코비,006490,1
대림통상,006570,1
대한유화,006650,1
삼성공조,006660,1
영풍제지,006740,1
미래에셋증권,006800,1
미래에셋증권우,006805,1
미래에셋증권2우B,00680K,1
AK홀딩스,006840,1
신송홀딩스,006880,1
태경케미컬,006890,1
우성,006980,1
GS리테일,007070,1
일신석재,007110,1
미래아이앤지,007120,1
사조산업,007160,1
벽산,007210,1
한국특강,007280,1
오뚜기,007310,1
디티알오토모티브,007340,1
에이프로젠 MED,007460,1
샘표,007540,1
일양약품,007570,1
일양약품우,007575,1
동방아그로,007590,1
선도전기,007610,1
폴루스바이오팜,007630,1
이수페타시스,007660,1
국도화학,007690,1
F&F홀딩스,007700,1
코리아써키트,007810,1
코리아써우,007815,1
코리아써키트2우B,00781K,1
서연,007860,1
태평양물산,007980,1
사조동아원,008040,1
대덕,008060,1
대덕1우,00806K,1
대동전자,008110,1
이건산업,008250,1
NI스틸,008260,1
남선알미늄,008350,1
남선알미우,008355,1
문배철강,008420,1
서흥,008490,1
일정실업,008500,1
메리츠증권,008560,1
윌비스,008600,1
아남전자,008700,1
율촌화학,008730,1
호텔신라,008770,1
호텔신라우,008775,1
금비,008870,1
한미사이언스,008930,1
동양철관,008970,1
KCTC,009070,1
경인전자,009140,1
삼성전기,009150,1
삼성전기우,009155,1
SIMPAC,009160,1
한솔로지스틱스,009180,1
대양금속,009190,1
무림페이퍼,009200,1
한샘,009240,1
신원,009270,1
신원우,009275,1
광동제약,009290,1
참엔지니어링,009310,1
대우부품,009320,1
태영건설,009410,1
태영건설우,009415,1
한올바이오파마,009420,1
KC그린홀딩스,009440,1
경동나비엔,009450,1
한창제지,009460,1
삼화전기,009470,1
한국조선해양,009540,1
무림P&P,009580,1
모토닉,009680,1
삼정펄프,009770,1
엔케이물산,009810,1
한화솔루션,009830,1
한화솔루션우,009835,1
명신산업,009900,1
영원무역홀딩스,009970,1
한국내화,010040,1
우리종금,010050,1
OCI,010060,1
한국프랜지,010100,1
LS ELECTRIC,010120,1
고려아연,010130,1
삼성중공업,010140,1
삼성중공우,010145,1
우진아이엔에스,010400,1
한솔PNS,010420,1
지코,010580,1
웰바이오텍,010600,1
현대미포조선,010620,1
진양폴리,010640,1
화천기계,010660,1
화신,010690,1
평화홀딩스,010770,1
아이에스동서,010780,1
퍼스텍,010820,1
S-Oil,010950,1
S-Oil우,010955,1
삼호개발,010960,1
진원생명과학,011000,1
LG이노텍,011070,1
에넥스,011090,1
CJ씨푸드,011150,1
CJ씨푸드1우,011155,1
롯데케미칼,011170,1
HMM,011200,1
현대위아,011210,1
삼화전자,011230,1
태림포장,011280,1
성안,011300,1
유니켐,011330,1
부산산업,011390,1
갤럭시아에스엠,011420,1
한농화성,011500,1
와이투솔루션,011690,1
한신기계,011700,1
현대코퍼레이션,011760,1
금호석유,011780,1
금호석유우,011785,1
SKC,011790,1
STX,011810,1
신성이엔지,011930,1
DB,012030,1
영흥,012160,1
아센디오,012170,1
계양전기,012200,1
계양전기우,012205,1
영화금속,012280,1
경동인베스트,012320,1
현대모비스,012330,1
한화에어로스페이스,012450,1
더존비즈온,012510,1
센트럴인사이트,012600,1
경인양행,012610,1
HDC,012630,1
모나리자,012690,1
에스원,012750,1
대창,012800,1
세우글로벌,013000,1
일성건설,013360,1
화승코퍼레이션,013520,1
디와이,013570,1
계룡건설,013580,1
까뮤이앤씨,013700,1
지엠비코리아,013870,1
지누스,013890,1
한익스프레스,014130,1
대영포장,014160,1
금강공업,014280,1
금강공업우,014285,1
영보화학,014440,1
극동유화,014530,1
태경비케이,014580,1
한솔케미칼,014680,1
사조씨푸드,014710,1
한라,014790,1
동원시스템즈,014820,1
동원시스템즈우,014825,1
유니드,014830,1
성문전자,014910,1
성문전자우,014915,1
인디에프,014990,1
이스타코,015020,1
대창단조,015230,1
에이엔피,015260,1
부산가스,015350,1
예스코홀딩스,015360,1
쎌마테라퓨틱스,015540,1
큐로,015590,1
한국전력,015760,1
